Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.2,0,1000,0,0.0995643,0.199129
0.5,0.2,0,1000,0,0.100689,0.201377
0.5,0.2,0,1000,0,0.100123,0.200247
0.5,0.2,0,1000,0,0.100229,0.200459
0.5,0.2,0,1000,0,0.0992623,0.198525
0.5,0.2,0,1000,0,0.0996596,0.199319
0.5,0.21,0,1000,0,0.104772,0.209543
0.5,0.21,0,1000,0,0.104734,0.209469
0.5,0.21,0,1000,0,0.104947,0.209894
0.5,0.21,0,1000,0,0.104975,0.20995
0.5,0.21,0,1000,0,0.104532,0.209063
0.5,0.21,0,1000,0,0.104645,0.209291
0.5,0.21,0,1000,0,0.105196,0.210392
0.5,0.21,0,1000,0,0.10564,0.21128
0.5,0.21,0,1000,0,0.105184,0.210369
0.5,0.21,0,1000,0,0.104574,0.209149
0.5,0.22,0,1000,0,0.109789,0.219578
0.5,0.22,0,1000,0,0.109861,0.219722
0.5,0.22,0,1000,0,0.11081,0.221621
0.5,0.22,0,1000,0,0.110087,0.220174
0.5,0.22,0,1000,0,0.110254,0.220508
0.5,0.22,0,1000,0,0.10956,0.219119
0.5,0.22,0,1000,0,0.109875,0.219751
0.5,0.22,0,1000,0,0.110476,0.220952
0.5,0.22,0,1000,0,0.109711,0.219422
0.5,0.22,0,1000,0,0.110388,0.220776
0.5,0.23,0,1000,0,0.114006,0.228012
0.5,0.23,0,1000,0,0.114983,0.229966
0.5,0.23,0,1000,0,0.11486,0.22972
0.5,0.23,0,1000,0,0.114754,0.229508
0.5,0.23,0,1000,0,0.115402,0.230804
0.5,0.23,0,1000,0,0.114757,0.229515
0.5,0.23,0,1000,0,0.115041,0.230082
0.5,0.23,0,1000,0,0.11551,0.23102
0.5,0.23,0,1000,0,0.115124,0.230247
0.5,0.23,0,1000,0,0.114805,0.22961
0.5,0.24,0,1000,0,0.120195,0.240389
0.5,0.24,0,1000,0,0.120061,0.240123
0.5,0.24,0,1000,0,0.12076,0.24152
0.5,0.24,0,1000,0,0.119934,0.239867
0.5,0.24,0,1000,0,0.120046,0.240092
0.5,0.24,0,1000,0,0.120374,0.240749
0.5,0.24,0,1000,0,0.119314,0.238627
0.5,0.24,0,1000,0,0.120229,0.240457
0.5,0.24,0,1000,0,0.120693,0.241385
0.5,0.24,0,1000,0,0.119858,0.239716
0.5,0.25,0,1000,0,0.125424,0.250849
0.5,0.25,0,1000,0,0.124489,0.248979
0.5,0.25,0,1000,0,0.124408,0.248815
0.5,0.25,0,1000,0,0.124778,0.249556
0.5,0.25,0,1000,0,0.124528,0.249057
0.5,0.25,0,1000,0,0.125248,0.250496
0.5,0.25,0,1000,0,0.124112,0.248224
0.5,0.25,0,1000,0,0.125082,0.250163
0.5,0.25,0,1000,0,0.124864,0.249728
0.5,0.25,0,1000,0,0.125152,0.250304
0.5,0.26,0,1000,0,0.129928,0.259855
0.5,0.26,0,1000,0,0.130256,0.260512
0.5,0.26,0,1000,0,0.129485,0.25897
0.5,0.26,0,1000,0,0.129693,0.259387
0.5,0.26,0,1000,0,0.129803,0.259605
0.5,0.26,0,1000,0,0.129922,0.259844
0.5,0.26,0,1000,0,0.129755,0.25951
0.5,0.26,0,1000,0,0.129965,0.25993
0.5,0.26,0,1000,0,0.13019,0.260381
0.5,0.26,0,1000,0,0.129936,0.259872
0.5,0.27,0,1000,0,0.135412,0.270825
0.5,0.27,0,1000,0,0.134846,0.269691
0.5,0.27,0,1000,0,0.134587,0.269173
0.5,0.27,0,1000,0,0.134796,0.269593
0.5,0.27,0,1000,0,0.134488,0.268975
0.5,0.27,0,1000,0,0.135058,0.270117
0.5,0.27,0,1000,0,0.135979,0.271958
0.5,0.27,0,1000,0,0.135019,0.270038
0.5,0.27,0,1000,0,0.135192,0.270383
0.5,0.27,0,1000,0,0.135085,0.27017
0.5,0.28,0,1000,0,0.140196,0.280392
0.5,0.28,0,1000,0,0.139888,0.279777
0.5,0.28,0,1000,0,0.140218,0.280437
0.5,0.28,0,1000,0,0.139726,0.279451
0.5,0.28,0,1000,0,0.139546,0.279092
0.5,0.28,0,1000,0,0.13986,0.279721
0.5,0.28,0,1000,0,0.140297,0.280595
0.5,0.28,0,1000,0,0.139705,0.279409
0.5,0.28,0,1000,0,0.139762,0.279524
0.5,0.28,0,1000,0,0.140825,0.281649
0.5,0.29,0,1000,0,0.144729,0.289457
0.5,0.29,0,1000,0,0.144852,0.289703
0.5,0.29,0,1000,0,0.144974,0.289948
0.5,0.29,0,1000,0,0.145148,0.290296
0.5,0.29,0,1000,0,0.145434,0.290867
0.5,0.29,0,1000,0,0.145038,0.290076
0.5,0.29,0,1000,0,0.144466,0.288933
0.5,0.29,0,1000,0,0.144786,0.289572
0.5,0.29,0,1000,0,0.144786,0.289572
0.5,0.29,0,1000,0,0.144965,0.28993
0.5,0.3,0,1000,0,0.150383,0.300766
0.5,0.3,0,1000,0,0.149465,0.29893
0.5,0.3,0,1000,0,0.149974,0.299949
0.5,0.3,0,1000,0,0.150048,0.300096
0.5,0.3,0,1000,0,0.150048,0.300096
0.5,0.3,0,1000,0,0.14948,0.298959
0.5,0.3,0,1000,0,0.14981,0.29962
0.5,0.3,0,1000,0,0.149626,0.299251
0.5,0.3,0,1000,0,0.149916,0.299831
0.5,0.3,0,1000,0,0.149535,0.29907
