Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.31,0,1000,0,0.2058,0.309062
0.5,0.31,0,1000,0,0.206408,0.309645
0.5,0.31,0,1000,0,0.207059,0.310531
0.5,0.31,0,1000,0,0.20637,0.309635
0.5,0.31,0,1000,0,0.207097,0.310512
0.5,0.32,0,1000,0,0.214014,0.32062
0.5,0.32,0,1000,0,0.213428,0.320051
0.5,0.32,0,1000,0,0.213043,0.31974
0.5,0.32,0,1000,0,0.212508,0.318925
0.5,0.32,0,1000,0,0.212092,0.318351
0.5,0.32,0,1000,0,0.213721,0.320358
0.5,0.32,0,1000,0,0.212204,0.318472
0.5,0.32,0,1000,0,0.214769,0.321314
0.5,0.32,0,1000,0,0.213855,0.320874
0.5,0.32,0,1000,0,0.213871,0.320149
0.5,0.33,0,1000,0,0.219446,0.329115
0.5,0.33,0,1000,0,0.219369,0.328998
0.5,0.33,0,1000,0,0.220281,0.330608
0.5,0.33,0,1000,0,0.220031,0.330238
0.5,0.33,0,1000,0,0.219458,0.329174
0.5,0.33,0,1000,0,0.218995,0.328862
0.5,0.33,0,1000,0,0.219924,0.329891
0.5,0.33,0,1000,0,0.220701,0.330979
0.5,0.33,0,1000,0,0.219766,0.329522
0.5,0.33,0,1000,0,0.220347,0.330819
0.5,0.34,0,1000,0,0.227145,0.340983
0.5,0.34,0,1000,0,0.226507,0.339871
0.5,0.34,0,1000,0,0.227354,0.340816
0.5,0.34,0,1000,0,0.226411,0.339822
0.5,0.34,0,1000,0,0.226081,0.339207
0.5,0.34,0,1000,0,0.227165,0.340609
0.5,0.34,0,1000,0,0.227479,0.341116
0.5,0.34,0,1000,0,0.225502,0.338078
0.5,0.34,0,1000,0,0.227175,0.340663
0.5,0.34,0,1000,0,0.226964,0.340404
0.5,0.35,0,1000,0,0.23332,0.35014
0.5,0.35,0,1000,0,0.232094,0.347997
0.5,0.35,0,1000,0,0.23363,0.350462
0.5,0.35,0,1000,0,0.232537,0.34899
0.5,0.35,0,1000,0,0.232861,0.349336
0.5,0.35,0,1000,0,0.233534,0.349733
0.5,0.35,0,1000,0,0.233012,0.349375
0.5,0.35,0,1000,0,0.233746,0.350704
0.5,0.35,0,1000,0,0.233403,0.350209
0.5,0.35,0,1000,0,0.233048,0.349309
0.5,0.36,0,1000,0,0.240097,0.359761
0.5,0.36,0,1000,0,0.239981,0.35977
0.5,0.36,0,1000,0,0.240076,0.359855
0.5,0.36,0,1000,0,0.240622,0.36082
0.5,0.36,0,1000,0,0.240218,0.360152
0.5,0.36,0,1000,0,0.23935,0.358865
0.5,0.36,0,1000,0,0.241011,0.361265
0.5,0.36,0,1000,0,0.241106,0.361495
0.5,0.36,0,1000,0,0.240428,0.359977
0.5,0.36,0,1000,0,0.239977,0.360021
0.5,0.37,0,1000,0,0.247334,0.370983
0.5,0.37,0,1000,0,0.246529,0.370158
0.5,0.37,0,1000,0,0.245975,0.368571
0.5,0.37,0,1000,0,0.246334,0.369373
0.5,0.37,0,1000,0,0.248202,0.372069
0.5,0.37,0,1000,0,0.246319,0.369745
0.5,0.37,0,1000,0,0.246755,0.370018
0.5,0.37,0,1000,0,0.247244,0.371321
0.5,0.37,0,1000,0,0.24766,0.371467
0.5,0.37,0,1000,0,0.246457,0.369622
0.5,0.38,0,1000,0,0.25376,0.380927
0.5,0.38,0,1000,0,0.253174,0.379686
0.5,0.38,0,1000,0,0.252819,0.379181
0.5,0.38,0,1000,0,0.253749,0.380638
0.5,0.38,0,1000,0,0.254107,0.381306
0.5,0.38,0,1000,0,0.25429,0.381354
0.5,0.38,0,1000,0,0.253831,0.380227
0.5,0.38,0,1000,0,0.253671,0.38053
0.5,0.38,0,1000,0,0.253,0.379714
0.5,0.38,0,1000,0,0.253167,0.379625
0.5,0.39,0,1000,0,0.259675,0.389523
0.5,0.39,0,1000,0,0.261723,0.392737
0.5,0.39,0,1000,0,0.260951,0.391239
0.5,0.39,0,1000,0,0.26011,0.39052
0.5,0.39,0,1000,0,0.259628,0.389277
0.5,0.39,0,1000,0,0.259521,0.389663
0.5,0.39,0,1000,0,0.25966,0.389604
0.5,0.39,0,1000,0,0.259366,0.388874
0.5,0.39,0,1000,0,0.259601,0.389659
0.5,0.39,0,1000,0,0.258921,0.388262
0.5,0.4,0,1000,0,0.266715,0.400405
0.5,0.4,0,1000,0,0.267571,0.401364
0.5,0.4,0,1000,0,0.266007,0.399058
0.5,0.4,0,1000,0,0.264834,0.397701
0.5,0.4,0,1000,0,0.267187,0.400112
0.5,0.4,0,1000,0,0.267045,0.400297
0.5,0.4,0,1000,0,0.267003,0.400564
0.5,0.4,0,1000,0,0.267202,0.400621
0.5,0.4,0,1000,0,0.266388,0.3995
0.5,0.4,0,1000,0,0.266288,0.399196
0.5,0.41,0,1000,0,0.273023,0.409709
0.5,0.41,0,1000,0,0.273928,0.410673
0.5,0.41,0,1000,0,0.274299,0.4114
0.5,0.41,0,1000,0,0.273868,0.410632
0.5,0.41,0,1000,0,0.273204,0.409576
0.5,0.41,0,1000,0,0.272975,0.409504
0.5,0.41,0,1000,0,0.274346,0.411195
0.5,0.41,0,1000,0,0.272394,0.40881
0.5,0.41,0,1000,0,0.272223,0.408786
0.5,0.41,0,1000,0,0.272824,0.409121
0.5,0.42,0,1000,0,0.279208,0.418508
0.5,0.42,0,1000,0,0.280259,0.420723
0.5,0.42,0,1000,0,0.281342,0.421924
0.5,0.42,0,1000,0,0.2816,0.422345
0.5,0.42,0,1000,0,0.280436,0.420425
0.5,0.42,0,1000,0,0.278803,0.418372
0.5,0.42,0,1000,0,0.279426,0.419109
0.5,0.42,0,1000,0,0.280308,0.42051
0.5,0.42,0,1000,0,0.279026,0.418634
0.5,0.42,0,1000,0,0.279414,0.419339
0.5,0.43,0,1000,0,0.286951,0.430706
0.5,0.43,0,1000,0,0.28761,0.431023
0.5,0.43,0,1000,0,0.285121,0.427773
0.5,0.43,0,1000,0,0.287215,0.430627
0.5,0.43,0,1000,0,0.28584,0.428894
0.5,0.43,0,1000,0,0.286593,0.429869
0.5,0.43,0,1000,0,0.287666,0.431736
0.5,0.43,0,1000,0,0.287062,0.430583
0.5,0.43,0,1000,0,0.286437,0.430001
0.5,0.43,0,1000,0,0.28632,0.429632
0.5,0.44,0,1000,0,0.293878,0.440559
0.5,0.44,0,1000,0,0.295249,0.442873
0.5,0.44,0,1000,0,0.293055,0.439747
0.5,0.44,0,1000,0,0.293663,0.44049
0.5,0.44,0,1000,0,0.292992,0.43959
0.5,0.44,0,1000,0,0.29267,0.439189
0.5,0.44,0,1000,0,0.294882,0.442364
0.5,0.44,0,1000,0,0.293592,0.439989
0.5,0.44,0,1000,0,0.294001,0.440949
0.5,0.44,0,1000,0,0.292661,0.438645
0.5,0.45,0,1000,0,0.300897,0.451611
0.5,0.45,0,1000,0,0.300017,0.449851
0.5,0.45,0,1000,0,0.300001,0.450416
0.5,0.45,0,1000,0,0.300147,0.450116
0.5,0.45,0,1000,0,0.300512,0.450453
0.5,0.45,0,1000,0,0.29929,0.449137
0.5,0.45,0,1000,0,0.29905,0.44848
0.5,0.45,0,1000,0,0.30004,0.449834
0.5,0.45,0,1000,0,0.300397,0.449995
0.5,0.45,0,1000,0,0.299493,0.449372
0.5,0.46,0,1000,0,0.307126,0.460993
0.5,0.46,0,1000,0,0.307515,0.461285
0.5,0.46,0,1000,0,0.305638,0.458321
0.5,0.46,0,1000,0,0.306313,0.459439
0.5,0.46,0,1000,0,0.305556,0.458326
0.5,0.46,0,1000,0,0.306403,0.459493
0.5,0.46,0,1000,0,0.307256,0.460726
0.5,0.46,0,1000,0,0.307017,0.460181
0.5,0.46,0,1000,0,0.306038,0.458571
0.5,0.46,0,1000,0,0.30603,0.459721
0.5,0.47,0,1000,0,0.314472,0.471479
0.5,0.47,0,1000,0,0.312655,0.469412
0.5,0.47,0,1000,0,0.313223,0.469653
0.5,0.47,0,1000,0,0.312288,0.468608
0.5,0.47,0,1000,0,0.313561,0.470346
0.5,0.47,0,1000,0,0.313228,0.469653
0.5,0.47,0,1000,0,0.313533,0.470259
0.5,0.47,0,1000,0,0.313169,0.469987
0.5,0.47,0,1000,0,0.313273,0.470022
0.5,0.47,0,1000,0,0.313705,0.470688
0.5,0.48,0,1000,0,0.32084,0.48128
0.5,0.48,0,1000,0,0.320501,0.480911
0.5,0.48,0,1000,0,0.319601,0.479692
0.5,0.48,0,1000,0,0.322319,0.483508
0.5,0.48,0,1000,0,0.319874,0.480178
0.5,0.48,0,1000,0,0.320733,0.481054
0.5,0.48,0,1000,0,0.320521,0.480031
0.5,0.48,0,1000,0,0.320073,0.480548
0.5,0.48,0,1000,0,0.319853,0.479609
0.5,0.48,0,1000,0,0.319344,0.479039
0.5,0.49,0,1000,0,0.326137,0.489086
0.5,0.49,0,1000,0,0.327888,0.491118
0.5,0.49,0,1000,0,0.326953,0.490419
