Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.2,1000,0,0.100491,0.200982
0.5,0.2,1000,0,0.0999632,0.199926
0.5,0.2,1000,0,0.100092,0.200184
0.5,0.2,1000,0,0.0996675,0.199335
0.5,0.2,1000,0,0.100266,0.200531
0.5,0.2,1000,0,0.0994985,0.198997
0.5,0.2,1000,0,0.10035,0.2007
0.5,0.2,1000,0,0.100765,0.20153
0.5,0.2,1000,0,0.100276,0.200552
0.5,0.2,1000,0,0.0998108,0.199622
0.5,0.21,1000,0,0.105376,0.210752
0.5,0.21,1000,0,0.105372,0.210744
0.5,0.21,1000,0,0.105526,0.211052
0.5,0.21,1000,0,0.105655,0.21131
0.5,0.21,1000,0,0.104635,0.209271
0.5,0.21,1000,0,0.105209,0.210417
0.5,0.21,1000,0,0.105105,0.210211
0.5,0.21,1000,0,0.105355,0.210711
0.5,0.21,1000,0,0.105472,0.210945
0.5,0.21,1000,0,0.104528,0.209057
0.5,0.22,1000,0,0.110308,0.220617
0.5,0.22,1000,0,0.110265,0.220529
0.5,0.22,1000,0,0.110309,0.220619
0.5,0.22,1000,0,0.110261,0.220522
0.5,0.22,1000,0,0.110199,0.220398
0.5,0.22,1000,0,0.109296,0.218593
0.5,0.22,1000,0,0.109877,0.219754
0.5,0.22,1000,0,0.109898,0.219797
0.5,0.22,1000,0,0.110473,0.220945
0.5,0.22,1000,0,0.110091,0.220181
0.5,0.23,1000,0,0.114523,0.229045
0.5,0.23,1000,0,0.114101,0.228202
0.5,0.23,1000,0,0.115063,0.230127
0.5,0.23,1000,0,0.114896,0.229792
0.5,0.23,1000,0,0.114991,0.229982
0.5,0.23,1000,0,0.114797,0.229594
0.5,0.23,1000,0,0.114877,0.229753
0.5,0.23,1000,0,0.11506,0.23012
0.5,0.23,1000,0,0.114869,0.229737
0.5,0.23,1000,0,0.114797,0.229594
0.5,0.24,1000,0,0.119603,0.239206
0.5,0.24,1000,0,0.119328,0.238656
0.5,0.24,1000,0,0.119559,0.239117
0.5,0.24,1000,0,0.119673,0.239345
0.5,0.24,1000,0,0.120089,0.240177
0.5,0.24,1000,0,0.119905,0.239811
0.5,0.24,1000,0,0.119324,0.238647
0.5,0.24,1000,0,0.120642,0.241284
0.5,0.24,1000,0,0.120699,0.241398
0.5,0.24,1000,0,0.119798,0.239596
0.5,0.25,1000,0,0.125168,0.250336
0.5,0.25,1000,0,0.124684,0.249368
0.5,0.25,1000,0,0.124291,0.248581
0.5,0.25,1000,0,0.124704,0.249407
0.5,0.25,1000,0,0.124554,0.249109
0.5,0.25,1000,0,0.12549,0.250981
0.5,0.25,1000,0,0.124582,0.249165
0.5,0.25,1000,0,0.124904,0.249807
0.5,0.25,1000,0,0.125537,0.251073
0.5,0.25,1000,0,0.125364,0.250728
0.5,0.26,1000,0,0.130501,0.261002
0.5,0.26,1000,0,0.130179,0.260358
0.5,0.26,1000,0,0.130353,0.260705
0.5,0.26,1000,0,0.130459,0.260918
0.5,0.26,1000,0,0.129507,0.259014
0.5,0.26,1000,0,0.129965,0.25993
0.5,0.26,1000,0,0.129667,0.259333
0.5,0.26,1000,0,0.129471,0.258942
0.5,0.26,1000,0,0.129996,0.259992
0.5,0.26,1000,0,0.13061,0.261221
0.5,0.27,1000,0,0.134952,0.269904
0.5,0.27,1000,0,0.135477,0.270954
0.5,0.27,1000,0,0.134223,0.268446
0.5,0.27,1000,0,0.136053,0.272106
0.5,0.27,1000,0,0.135199,0.270397
0.5,0.27,1000,0,0.134818,0.269636
0.5,0.27,1000,0,0.134594,0.269189
0.5,0.27,1000,0,0.135035,0.270069
0.5,0.27,1000,0,0.135076,0.270152
0.5,0.27,1000,0,0.134883,0.269766
0.5,0.28,1000,0,0.140277,0.280554
0.5,0.28,1000,0,0.14048,0.280959
0.5,0.28,1000,0,0.139607,0.279215
0.5,0.28,1000,0,0.139966,0.279932
0.5,0.28,1000,0,0.140568,0.281136
0.5,0.28,1000,0,0.139891,0.279781
0.5,0.28,1000,0,0.139598,0.279196
0.5,0.28,1000,0,0.139699,0.279397
0.5,0.28,1000,0,0.139496,0.278992
0.5,0.28,1000,0,0.14019,0.28038
0.5,0.29,1000,0,0.144662,0.289324
0.5,0.29,1000,0,0.145506,0.291012
0.5,0.29,1000,0,0.144538,0.289076
0.5,0.29,1000,0,0.145293,0.290586
0.5,0.29,1000,0,0.145135,0.29027
0.5,0.29,1000,0,0.144957,0.289913
0.5,0.29,1000,0,0.145045,0.29009
0.5,0.29,1000,0,0.144667,0.289334
0.5,0.29,1000,0,0.144728,0.289455
0.5,0.29,1000,0,0.144166,0.288331
0.5,0.3,1000,0,0.149429,0.298857
0.5,0.3,1000,0,0.150366,0.300732
0.5,0.3,1000,0,0.15013,0.30026
0.5,0.3,1000,0,0.149453,0.298905
0.5,0.3,1000,0,0.150872,0.301744
0.5,0.3,1000,0,0.150491,0.300981
0.5,0.3,1000,0,0.15055,0.3011
0.5,0.3,1000,0,0.149915,0.299829
0.5,0.3,1000,0,0.15022,0.300441
0.5,0.3,1000,0,0.149873,0.299745
0.5,0.31,1000,0,0.155091,0.310182
0.5,0.31,1000,0,0.154949,0.309897
0.5,0.31,1000,0,0.154806,0.309611
0.5,0.31,1000,0,0.155126,0.310253
0.5,0.31,1000,0,0.154977,0.309953
0.5,0.31,1000,0,0.154866,0.309733
0.5,0.31,1000,0,0.155344,0.310688
0.5,0.31,1000,0,0.155025,0.310049
0.5,0.31,1000,0,0.155656,0.311313
0.5,0.31,1000,0,0.15436,0.30872
0.5,0.32,1000,0,0.159045,0.318091
0.5,0.32,1000,0,0.160082,0.320164
0.5,0.32,1000,0,0.160439,0.320878
0.5,0.32,1000,0,0.160488,0.320976
0.5,0.32,1000,0,0.1604,0.320799
0.5,0.32,1000,0,0.160165,0.32033
0.5,0.32,1000,0,0.159786,0.319573
0.5,0.32,1000,0,0.160038,0.320077
0.5,0.32,1000,0,0.159876,0.319753
0.5,0.32,1000,0,0.160403,0.320806
0.5,0.33,1000,0,0.165589,0.331177
0.5,0.33,1000,0,0.163882,0.327763
0.5,0.33,1000,0,0.165159,0.330318
0.5,0.33,1000,0,0.165348,0.330697
0.5,0.33,1000,0,0.165337,0.330675
0.5,0.33,1000,0,0.165998,0.331996
0.5,0.33,1000,0,0.165235,0.330471
0.5,0.33,1000,0,0.165085,0.330169
0.5,0.33,1000,0,0.164759,0.329518
0.5,0.33,1000,0,0.165515,0.33103
0.5,0.34,1000,0,0.170712,0.341423
0.5,0.34,1000,0,0.169223,0.338447
0.5,0.34,1000,0,0.171078,0.342156
0.5,0.34,1000,0,0.169782,0.339565
0.5,0.34,1000,0,0.169213,0.338427
0.5,0.34,1000,0,0.169891,0.339782
0.5,0.34,1000,0,0.169937,0.339874
0.5,0.34,1000,0,0.169603,0.339207
0.5,0.34,1000,0,0.169438,0.338877
0.5,0.34,1000,0,0.171355,0.342709
0.5,0.35,1000,0,0.174891,0.349781
0.5,0.35,1000,0,0.174384,0.348768
0.5,0.35,1000,0,0.174732,0.349463
0.5,0.35,1000,0,0.175439,0.350877
0.5,0.35,1000,0,0.174166,0.348333
0.5,0.35,1000,0,0.174359,0.348719
0.5,0.35,1000,0,0.174913,0.349827
0.5,0.35,1000,0,0.174684,0.349368
0.5,0.35,1000,0,0.174921,0.349842
0.5,0.35,1000,0,0.174553,0.349105
0.5,0.36,1000,0,0.180167,0.360334
0.5,0.36,1000,0,0.18056,0.361121
0.5,0.36,1000,0,0.179866,0.359733
0.5,0.36,1000,0,0.178826,0.357652
0.5,0.36,1000,0,0.179683,0.359365
0.5,0.36,1000,0,0.180082,0.360164
0.5,0.36,1000,0,0.180358,0.360716
0.5,0.36,1000,0,0.179814,0.359627
0.5,0.36,1000,0,0.180564,0.361128
0.5,0.36,1000,0,0.179382,0.358765
0.5,0.37,1000,0,0.185204,0.370408
0.5,0.37,1000,0,0.18404,0.368079
0.5,0.37,1000,0,0.185085,0.37017
0.5,0.37,1000,0,0.186,0.372001
0.5,0.37,1000,0,0.184552,0.369104
0.5,0.37,1000,0,0.18603,0.37206
0.5,0.37,1000,0,0.184716,0.369431
0.5,0.37,1000,0,0.18515,0.3703
0.5,0.37,1000,0,0.184621,0.369241
0.5,0.37,1000,0,0.185927,0.371855
0.5,0.38,1000,0,0.190025,0.380051
0.5,0.38,1000,0,0.190744,0.381489
0.5,0.38,1000,0,0.19041,0.38082
0.5,0.38,1000,0,0.189933,0.379867
0.5,0.38,1000,0,0.190161,0.380322
0.5,0.38,1000,0,0.18981,0.37962
0.5,0.38,1000,0,0.190414,0.380828
0.5,0.38,1000,0,0.189798,0.379596
0.5,0.38,1000,0,0.190403,0.380806
0.5,0.38,1000,0,0.190242,0.380485
0.5,0.39,1000,0,0.194865,0.38973
0.5,0.39,1000,0,0.195672,0.391345
0.5,0.39,1000,0,0.194144,0.388288
0.5,0.39,1000,0,0.195159,0.390317
0.5,0.39,1000,0,0.195053,0.390105
0.5,0.39,1000,0,0.195657,0.391314
0.5,0.39,1000,0,0.195013,0.390027
0.5,0.39,1000,0,0.194889,0.389777
0.5,0.39,1000,0,0.195162,0.390325
0.5,0.39,1000,0,0.195239,0.390477
0.5,0.4,1000,0,0.200046,0.400092
0.5,0.4,1000,0,0.200538,0.401077
0.5,0.4,1000,0,0.200358,0.400715
0.5,0.4,1000,0,0.200741,0.401483
0.5,0.4,1000,0,0.200508,0.401017
0.5,0.4,1000,0,0.200177,0.400354
0.5,0.4,1000,0,0.199239,0.398478
0.5,0.4,1000,0,0.19979,0.399579
0.5,0.4,1000,0,0.200065,0.400131
0.5,0.4,1000,0,0.200063,0.400126
0.5,0.41,1000,0,0.204618,0.409236
0.5,0.41,1000,0,0.204963,0.409927
0.5,0.41,1000,0,0.20489,0.409779
0.5,0.41,1000,0,0.206038,0.412075
0.5,0.41,1000,0,0.203607,0.407215
0.5,0.41,1000,0,0.205033,0.410067
0.5,0.41,1000,0,0.205169,0.410338
0.5,0.41,1000,0,0.204459,0.408918
0.5,0.41,1000,0,0.204973,0.409946
0.5,0.41,1000,0,0.205968,0.411936
0.5,0.42,1000,0,0.209999,0.419998
0.5,0.42,1000,0,0.209885,0.419769
0.5,0.42,1000,0,0.210108,0.420215
0.5,0.42,1000,0,0.208479,0.416958
0.5,0.42,1000,0,0.208858,0.417716
0.5,0.42,1000,0,0.209113,0.418225
0.5,0.42,1000,0,0.2097,0.4194
0.5,0.42,1000,0,0.209307,0.418614
0.5,0.42,1000,0,0.209391,0.418781
0.5,0.42,1000,0,0.210183,0.420366
0.5,0.43,1000,0,0.21571,0.43142
0.5,0.43,1000,0,0.215185,0.430369
0.5,0.43,1000,0,0.214979,0.429957
0.5,0.43,1000,0,0.215298,0.430595
0.5,0.43,1000,0,0.214273,0.428545
0.5,0.43,1000,0,0.214925,0.429849
0.5,0.43,1000,0,0.214584,0.429167
0.5,0.43,1000,0,0.214463,0.428926
0.5,0.43,1000,0,0.214999,0.429999
0.5,0.43,1000,0,0.214949,0.429898
0.5,0.44,1000,0,0.220134,0.440267
0.5,0.44,1000,0,0.21995,0.4399
0.5,0.44,1000,0,0.219621,0.439241
0.5,0.44,1000,0,0.219564,0.439128
0.5,0.44,1000,0,0.219535,0.439069
0.5,0.44,1000,0,0.220231,0.440462
0.5,0.44,1000,0,0.220896,0.441792
0.5,0.44,1000,0,0.22021,0.44042
0.5,0.44,1000,0,0.220288,0.440576
0.5,0.44,1000,0,0.220686,0.441373
0.5,0.45,1000,0,0.224892,0.449784
0.5,0.45,1000,0,0.225142,0.450284
0.5,0.45,1000,0,0.224233,0.448465
0.5,0.45,1000,0,0.225393,0.450785
0.5,0.45,1000,0,0.225229,0.450458
0.5,0.45,1000,0,0.223945,0.447891
0.5,0.45,1000,0,0.225179,0.450359
0.5,0.45,1000,0,0.224425,0.448849
0.5,0.45,1000,0,0.225546,0.451091
0.5,0.45,1000,0,0.224687,0.449374
0.5,0.46,1000,0,0.229727,0.459454
0.5,0.46,1000,0,0.229799,0.459597
0.5,0.46,1000,0,0.229251,0.458502
0.5,0.46,1000,0,0.229671,0.459342
0.5,0.46,1000,0,0.230544,0.461088
0.5,0.46,1000,0,0.229084,0.458169
0.5,0.46,1000,0,0.231019,0.462038
0.5,0.46,1000,0,0.231173,0.462346
0.5,0.46,1000,0,0.230699,0.461397
0.5,0.46,1000,0,0.230513,0.461025
0.5,0.47,1000,0,0.235164,0.470328
0.5,0.47,1000,0,0.234327,0.468653
0.5,0.47,1000,0,0.23559,0.471181
0.5,0.47,1000,0,0.234977,0.469954
0.5,0.47,1000,0,0.234525,0.46905
0.5,0.47,1000,0,0.233977,0.467953
0.5,0.47,1000,0,0.234959,0.469917
0.5,0.47,1000,0,0.235619,0.471238
0.5,0.47,1000,0,0.234704,0.469407
0.5,0.47,1000,0,0.23552,0.47104
0.5,0.48,1000,0,0.240263,0.480526
0.5,0.48,1000,0,0.240632,0.481265
0.5,0.48,1000,0,0.239899,0.479799
0.5,0.48,1000,0,0.240054,0.480108
0.5,0.48,1000,0,0.24029,0.480581
0.5,0.48,1000,0,0.240637,0.481275
0.5,0.48,1000,0,0.240651,0.481302
0.5,0.48,1000,0,0.240035,0.480071
0.5,0.48,1000,0,0.240516,0.481031
0.5,0.48,1000,0,0.239798,0.479597
0.5,0.49,1000,0,0.245019,0.490039
0.5,0.49,1000,0,0.245422,0.490845
0.5,0.49,1000,0,0.244898,0.489797
