Germline cut rate,Embryo cut rate,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0,0.26,29,38,0.919141,1
0,0.28,26,31,0.889143,1
0,0.28,27,33,0.905539,1
0,0.28,27,33,0.903022,1
0,0.28,26,33,0.904871,1
0,0.28,27,34,0.908573,1
0,0.28,27,33,0.894849,1
0,0.28,26,34,0.9178,1
0,0.28,27,34,0.905136,1
0,0.28,27,34,0.907392,1
0,0.28,26,32,0.897242,1
0,0.3,25,30,0.890893,1
0,0.3,25,31,0.90194,1
0,0.3,25,31,0.905069,1
0,0.3,25,32,0.91011,1
0,0.3,24,31,0.904451,1
0,0.3,25,31,0.899125,1
0,0.3,24,30,0.899883,1
0,0.3,24,30,0.898547,1
0,0.3,24,30,0.899572,1
0,0.3,26,32,0.903148,1
0,0.32,23,28,0.892326,1
0,0.32,24,29,0.891787,1
0,0.32,23,29,0.896091,1
0,0.32,23,28,0.88824,1
0,0.32,24,28,0.882023,1
0,0.32,24,29,0.888023,1
0,0.32,24,29,0.8918,1
0,0.32,23,31,0.913246,1
0,0.32,23,28,0.889388,1
0,0.32,24,29,0.889345,1
0,0.34,23,27,0.881857,1
0,0.34,22,27,0.889999,1
0,0.34,22,28,0.899021,1
0,0.34,22,29,0.904549,1
0,0.34,22,27,0.886475,1
0,0.34,23,27,0.882498,1
0,0.34,22,27,0.886559,1
0,0.34,22,28,0.898311,1
0,0.34,22,28,0.894715,1
0,0.34,23,27,0.883638,1
0,0.36,22,26,0.884811,1
0,0.36,21,25,0.877754,1
0,0.36,21,26,0.885664,1
0,0.36,22,27,0.894889,1
0,0.36,21,26,0.887075,1
0,0.36,21,28,0.906181,1
0,0.36,22,26,0.881409,1
0,0.36,21,27,0.896626,1
0,0.36,21,27,0.893855,1
0,0.36,21,27,0.896898,1
0,0.38,20,26,0.900723,1
0,0.38,20,26,0.897233,1
0,0.38,20,24,0.87805,1
0,0.38,20,25,0.888274,1
0,0.38,21,25,0.882531,1
0,0.38,21,26,0.894177,1
0,0.38,20,26,0.899358,1
0,0.38,21,26,0.891668,1
0,0.38,21,25,0.87886,1
0,0.38,20,26,0.900405,1
0,0.4,19,23,0.875361,1
0,0.4,20,24,0.882842,1
0,0.4,19,24,0.885489,1
0,0.4,19,23,0.877284,1
0,0.4,21,26,0.8955,1
0,0.4,19,24,0.888392,1
0,0.4,19,24,0.88731,1
0,0.4,19,24,0.886928,1
0,0.4,19,23,0.870779,1
0,0.4,20,24,0.878394,1
0,0.42,19,24,0.891151,1
0,0.42,19,24,0.888961,1
0,0.42,18,22,0.873684,1
0,0.42,19,24,0.891579,1
0,0.42,19,22,0.862443,1
0,0.42,19,23,0.874889,1
0,0.42,19,23,0.875384,1
0,0.42,19,22,0.863269,1
0,0.42,19,23,0.878084,1
0,0.42,19,23,0.879075,1
0,0.44,18,23,0.883056,1
0,0.44,18,22,0.874048,1
0,0.44,18,23,0.885399,1
0,0.44,19,23,0.881108,1
0,0.44,19,22,0.870379,1
0,0.44,18,23,0.886238,1
0,0.44,18,22,0.872251,1
0,0.44,19,22,0.862742,1
0,0.44,18,22,0.874919,1
0,0.44,18,22,0.874375,1
0,0.46,18,23,0.888729,1
0,0.46,17,21,0.871509,1
0,0.46,18,22,0.878994,1
0,0.46,18,21,0.864527,1
0,0.46,18,22,0.876852,1
0,0.46,17,21,0.868664,1
0,0.46,18,21,0.866611,1
0,0.46,18,22,0.882021,1
0,0.46,18,22,0.873994,1
0,0.46,18,21,0.866683,1
0,0.48,17,21,0.871344,1
0,0.48,17,21,0.875404,1
0,0.48,17,21,0.875348,1
0,0.48,17,21,0.876035,1
0,0.48,17,21,0.873179,1
0,0.48,17,20,0.861267,1
0,0.48,17,20,0.860263,1
0,0.48,17,21,0.871289,1
0,0.48,17,21,0.867671,1
0,0.48,17,20,0.856199,1
0,0.5,16,19,0.855415,1
0,0.5,16,19,0.857662,1
0,0.5,16,20,0.869982,1
0,0.5,17,22,0.887177,1
0,0.5,17,20,0.860683,1
0,0.5,16,21,0.883459,1
0,0.5,17,20,0.868716,1
0,0.5,17,20,0.856398,1
0,0.5,16,20,0.866392,1
0,0.5,17,21,0.877701,1
0,0.52,17,20,0.865883,1
0,0.52,16,20,0.875606,1
0,0.52,16,19,0.853286,1
0,0.52,16,19,0.860119,1
0,0.52,16,20,0.872068,1
0,0.52,17,21,0.881433,1
0,0.52,17,21,0.876334,1
0,0.52,16,20,0.872325,1
0,0.52,16,20,0.874628,1
0,0.52,16,19,0.854153,1
0,0.54,16,19,0.862274,1
0,0.54,16,19,0.866359,1
0,0.54,16,18,0.837877,1
0,0.54,16,20,0.873822,1
0,0.54,16,20,0.870117,1
0,0.54,16,19,0.867808,1
0,0.54,16,19,0.85888,1
0,0.54,16,19,0.863019,1
0,0.54,15,18,0.850454,1
0,0.54,15,20,0.879714,1
0,0.56,16,19,0.864777,1
0,0.56,15,18,0.852898,1
0,0.56,15,19,0.865922,1
0,0.56,15,18,0.853042,1
0,0.56,16,19,0.860525,1
0,0.56,15,18,0.845592,1
0,0.56,16,19,0.862007,1
0,0.56,16,18,0.847746,1
0,0.56,16,19,0.864386,1
0,0.56,15,19,0.866362,1
0,0.58,15,18,0.859748,1
0,0.58,15,18,0.851864,1
0,0.58,15,18,0.857978,1
0,0.58,15,18,0.859166,1
0,0.58,15,19,0.869671,1
0,0.58,15,19,0.870921,1
0,0.58,15,17,0.842455,1
0,0.58,15,18,0.856443,1
0,0.58,15,17,0.839876,1
0,0.58,15,18,0.855975,1
0,0.6,15,18,0.853874,1
0,0.6,15,18,0.856446,1
0,0.6,15,17,0.833118,1
0,0.6,15,18,0.857233,1
0,0.6,14,17,0.849618,1
0,0.6,15,18,0.853101,1
0,0.6,15,18,0.858503,1
0,0.6,15,18,0.862734,1
0,0.6,14,17,0.848098,1
0,0.6,15,18,0.853972,1
0,0.62,15,17,0.840991,1
0,0.62,15,18,0.862997,1
0,0.62,14,17,0.851466,1
0,0.62,14,17,0.852656,1
0,0.62,15,18,0.861192,1
0,0.62,15,17,0.840361,1
0,0.62,15,18,0.86296,1
0,0.62,15,17,0.846516,1
0,0.62,15,17,0.841546,1
0,0.62,14,17,0.849131,1
0,0.64,14,16,0.832289,1
0,0.64,14,17,0.848526,1
0,0.64,14,17,0.853265,1
0,0.64,14,17,0.850957,1
0,0.64,14,17,0.847867,1
0,0.64,14,17,0.851853,1
0,0.64,14,17,0.851957,1
0,0.64,14,17,0.855357,1
0,0.64,14,17,0.852396,1
0,0.64,14,17,0.853018,1
0,0.66,14,16,0.831131,1
0,0.66,14,17,0.85088,1
0,0.66,14,16,0.838605,1
0,0.66,14,17,0.85685,1
0,0.66,14,16,0.832413,1
0,0.66,14,16,0.834134,1
0,0.66,14,17,0.84707,1
0,0.66,14,18,0.871282,1
0,0.66,14,16,0.832476,1
0,0.66,15,18,0.859847,1
0,0.68,14,17,0.859431,1
0,0.68,14,17,0.848956,1
0,0.68,14,16,0.838068,1
0,0.68,14,16,0.840197,1
0,0.68,14,16,0.842984,1
0,0.68,14,17,0.855439,1
0,0.68,14,16,0.830537,1
0,0.68,14,15,0.820209,1
0,0.68,14,16,0.840909,1
0,0.68,14,17,0.853255,1
0,0.7,14,17,0.8618,1
0,0.7,14,16,0.842778,1
0,0.7,14,16,0.840721,1
0,0.7,14,17,0.861617,1
0,0.7,13,15,0.827119,1
0,0.7,14,16,0.843192,1
0,0.7,14,16,0.841253,1
0,0.7,14,16,0.836621,1
0,0.7,14,16,0.837752,1
0,0.7,14,16,0.840718,1
0,0.72,13,16,0.85205,1
0,0.72,14,15,0.810615,1
0,0.72,13,16,0.845161,1
0,0.72,13,16,0.848716,1
0,0.72,14,16,0.84194,1
0,0.72,14,16,0.841819,1
0,0.72,14,16,0.840386,1
0,0.72,13,15,0.824934,1
0,0.72,14,16,0.83985,1
0,0.72,13,15,0.820312,1
0,0.74,14,17,0.860262,1
0,0.74,14,16,0.843992,1
0,0.74,13,16,0.848207,1
0,0.74,13,15,0.825404,1
0,0.74,13,16,0.845975,1
0,0.74,14,16,0.843502,1
0,0.74,13,16,0.854341,1
0,0.74,13,16,0.851107,1
0,0.74,13,16,0.846144,1
0,0.74,13,15,0.825258,1
0,0.76,13,15,0.833357,1
0,0.76,13,16,0.853882,1
0,0.76,13,15,0.825189,1
0,0.76,13,15,0.823618,1
0,0.76,13,15,0.826909,1
0,0.76,13,16,0.844636,1
0,0.76,13,16,0.84563,1
0,0.76,13,16,0.846794,1
0,0.76,13,16,0.854812,1
0,0.76,13,15,0.824796,1
0,0.78,13,15,0.822528,1
0,0.78,13,15,0.834199,1
0,0.78,13,15,0.836302,1
0,0.78,13,16,0.85164,1
0,0.78,13,15,0.830558,1
0,0.78,13,15,0.829224,1
0,0.78,13,15,0.823515,1
