Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.24,1000,0,0.120138,0.240276
0.5,0.24,1000,0,0.120388,0.240776
0.5,0.24,1000,0,0.119356,0.238712
0.5,0.24,1000,0,0.119913,0.239825
0.5,0.25,1000,0,0.125707,0.251414
0.5,0.25,1000,0,0.1256,0.2512
0.5,0.25,1000,0,0.124724,0.249448
0.5,0.25,1000,0,0.12473,0.249459
0.5,0.25,1000,0,0.125001,0.250002
0.5,0.25,1000,0,0.124893,0.249786
0.5,0.25,1000,0,0.125018,0.250036
0.5,0.25,1000,0,0.124835,0.24967
0.5,0.25,1000,0,0.125019,0.250038
0.5,0.25,1000,0,0.125827,0.251653
0.5,0.26,1000,0,0.13086,0.261719
0.5,0.26,1000,0,0.130149,0.260298
0.5,0.26,1000,0,0.130587,0.261174
0.5,0.26,1000,0,0.130279,0.260558
0.5,0.26,1000,0,0.130002,0.260003
0.5,0.26,1000,0,0.129861,0.259722
0.5,0.26,1000,0,0.129149,0.258298
0.5,0.26,1000,0,0.130092,0.260184
0.5,0.26,1000,0,0.130012,0.260024
0.5,0.26,1000,0,0.130763,0.261526
0.5,0.27,1000,0,0.134771,0.269542
0.5,0.27,1000,0,0.134852,0.269703
0.5,0.27,1000,0,0.134871,0.269742
0.5,0.27,1000,0,0.135101,0.270202
0.5,0.27,1000,0,0.135407,0.270815
0.5,0.27,1000,0,0.135474,0.270948
0.5,0.27,1000,0,0.135553,0.271107
0.5,0.27,1000,0,0.134825,0.26965
0.5,0.27,1000,0,0.135043,0.270085
0.5,0.27,1000,0,0.135048,0.270097
0.5,0.28,1000,0,0.139701,0.279401
0.5,0.28,1000,0,0.140621,0.281242
0.5,0.28,1000,0,0.139715,0.279429
0.5,0.28,1000,0,0.140153,0.280305
0.5,0.28,1000,0,0.139697,0.279393
0.5,0.28,1000,0,0.140228,0.280457
0.5,0.28,1000,0,0.141037,0.282074
0.5,0.28,1000,0,0.140298,0.280597
0.5,0.28,1000,0,0.140632,0.281264
0.5,0.28,1000,0,0.140886,0.281772
