Germline cut rate,Embryo cut rate,Generations to 99% drive individuals difference, Gens to Reach 99%,Gens of Max Freq,Drive Allele Freq Here,Max Freq with at Least One Drive Chromosome
0,0.14,0,1000,100,0.546902,0.795577
0,0.16,-918,82,91,0.996716,1
0,0.16,-917,83,92,0.997343,1
0,0.16,-917,83,91,0.995924,1
0,0.16,-922,78,87,0.996346,1
0,0.16,-911,89,98,0.996298,1
0,0.16,-913,87,96,0.997337,1
0,0.16,-922,78,86,0.99516,1
0,0.16,-914,86,95,0.996924,1
0,0.16,-919,81,91,0.998124,1
0,0.16,-922,78,87,0.997382,1
0,0.18,-934,66,75,0.99815,1
0,0.18,-931,69,77,0.996677,1
0,0.18,-930,70,79,0.997841,1
0,0.18,-931,69,77,0.995686,1
0,0.18,-934,66,73,0.995147,1
0,0.18,-931,69,77,0.995881,1
0,0.18,-933,67,75,0.99488,1
0,0.18,-935,65,74,0.997448,1
0,0.18,-933,67,74,0.993214,1
0,0.18,-931,69,77,0.996916,1
0,0.2,-940,60,68,0.996412,1
0,0.2,-942,58,67,0.998264,1
0,0.2,-37,60,68,0.996665,1
0,0.2,-33,59,66,0.99549,1
0,0.2,-32,60,67,0.996229,1
0,0.2,-41,59,67,0.997615,1
0,0.2,-39,59,67,0.996388,1
0,0.2,-40,58,65,0.99391,1
0,0.2,-941,59,67,0.996314,1
0,0.2,-36,60,69,0.997779,1
0,0.22,-34,52,60,0.997893,1
0,0.22,-30,53,61,0.997201,1
0,0.22,-28,53,60,0.99578,1
0,0.22,-25,54,60,0.993402,1
0,0.22,-22,55,64,0.99805,1
0,0.22,-36,52,60,0.998254,1
0,0.22,-32,51,59,0.996765,1
0,0.22,-29,53,60,0.995478,1
0,0.22,-35,50,57,0.995091,1
0,0.22,-35,50,58,0.996692,1
0,0.24,-22,47,54,0.996803,1
0,0.24,-22,47,53,0.994054,1
0,0.24,-25,48,55,0.996768,1
0,0.24,-26,46,52,0.992529,1
0,0.24,-28,45,53,0.99688,1
0,0.24,-25,48,56,0.997351,1
0,0.24,-21,48,55,0.996626,1
0,0.24,-25,48,54,0.993523,1
0,0.24,-23,48,54,0.993735,1
0,0.24,-25,47,54,0.99601,1
0,0.26,-22,43,51,0.998253,1
0,0.26,-18,44,52,0.997695,1
0,0.26,-21,42,49,0.996147,1
0,0.26,-20,43,50,0.996411,1
0,0.26,-15,44,51,0.99633,1
0,0.26,-21,42,49,0.996942,1
0,0.26,-20,42,48,0.995572,1
0,0.26,-19,43,49,0.99504,1
0,0.26,-19,43,49,0.994663,1
0,0.26,-19,44,52,0.998143,1
0,0.28,-15,40,45,0.992229,1
0,0.28,-17,39,47,0.998031,1
0,0.28,-16,40,46,0.993755,1
0,0.28,-17,40,47,0.997342,1
0,0.28,-15,42,49,0.997989,1
0,0.28,-16,41,46,0.993299,1
0,0.28,-15,40,47,0.997803,1
0,0.28,-17,40,46,0.994538,1
0,0.28,-16,40,46,0.995478,1
0,0.28,-18,40,46,0.993955,1
0,0.3,-12,38,43,0.99329,1
0,0.3,-14,38,44,0.995851,1
0,0.3,-13,38,44,0.995983,1
0,0.3,-13,37,42,0.993649,1
0,0.3,-16,37,42,0.993865,1
0,0.3,-16,37,45,0.998051,1
0,0.3,-14,37,44,0.997228,1
0,0.3,-14,37,43,0.993996,1
0,0.3,-16,36,42,0.995235,1
0,0.3,-15,37,44,0.997496,1
0,0.32,-12,35,42,0.997844,1
0,0.32,-13,35,41,0.99567,1
0,0.32,-11,35,42,0.997478,1
0,0.32,-11,35,41,0.994647,1
0,0.32,-10,36,42,0.996649,1
0,0.32,-12,35,41,0.996307,1
0,0.32,-11,35,41,0.994665,1
0,0.32,-12,35,41,0.996417,1
0,0.32,-12,35,41,0.996122,1
0,0.32,-11,35,41,0.9961,1
0,0.34,-10,33,40,0.998171,1
0,0.34,-11,32,38,0.995457,1
0,0.34,-9,33,40,0.998148,1
0,0.34,-9,32,39,0.997142,1
0,0.34,-9,33,39,0.997146,1
0,0.34,-10,33,40,0.996889,1
0,0.34,-8,34,39,0.994799,1
0,0.34,-10,33,39,0.99516,1
0,0.34,-11,33,39,0.996869,1
0,0.34,-11,32,39,0.997371,1
0,0.36,-8,31,37,0.99651,1
0,0.36,-10,31,37,0.996762,1
0,0.36,-9,31,37,0.996546,1
0,0.36,-10,31,37,0.996022,1
0,0.36,-9,31,36,0.993875,1
0,0.36,-9,30,36,0.995755,1
0,0.36,-9,31,37,0.995463,1
0,0.36,-8,31,37,0.995497,1
0,0.36,-9,30,35,0.993912,1
0,0.36,-9,30,35,0.991092,1
0,0.38,-7,30,36,0.997134,1
