Germline Resistance,Max Freq with at Least One Drive Chromosome,Gens of Max Freq,Drive Allele Freq Here, Gens to Reach 99%
0.8,1,16,1,10
0.8,1,11,1,10
0.8,1,14,1,10
0.8,1,11,1,10
0.8,1,16,1,10
0.8,1,13,1,10
0.8,1,17,1,9
0.81,1,13,1,10
0.81,1,13,1,10
0.81,1,14,1,10
0.81,1,13,1,9
0.81,1,13,1,10
0.81,1,12,1,9
0.81,1,12,1,10
0.81,1,14,1,10
0.81,1,15,1,10
0.81,1,15,1,10
0.82,1,15,1,10
0.82,1,12,1,9
0.82,1,13,1,10
0.82,1,12,1,10
0.82,1,13,1,9
0.82,1,13,1,9
0.82,1,12,1,10
0.82,1,12,1,9
0.82,1,13,1,10
0.82,1,12,1,9
0.83,1,15,1,10
0.83,1,12,1,10
0.83,1,12,1,9
0.83,1,14,1,10
0.83,1,12,1,10
0.83,1,11,1,9
0.83,1,14,1,10
0.83,1,12,1,10
0.83,1,13,1,10
0.83,1,14,1,11
0.84,1,15,1,11
0.84,1,12,1,10
0.84,1,12,1,9
0.84,1,11,1,9
0.84,1,14,1,10
0.84,1,11,1,9
0.84,1,12,1,10
0.84,1,11,1,9
0.84,1,12,1,10
0.84,1,12,1,10
0.85,1,11,1,9
0.85,1,18,1,10
0.85,1,13,1,9
0.85,1,12,1,9
0.85,1,15,1,10
0.85,1,11,1,10
0.85,1,10,1,9
0.85,1,11,1,9
0.85,1,11,1,9
0.85,1,13,1,9
0.86,1,15,1,11
0.86,1,11,1,10
0.86,1,11,1,11
0.86,1,13,1,11
0.86,1,10,1,9
0.86,1,13,1,10
0.86,1,11,1,9
0.86,1,11,1,9
0.86,1,13,1,10
0.86,1,11,1,9
0.87,1,12,1,10
0.87,1,11,1,10
0.87,1,11,1,9
0.87,1,11,1,9
0.87,1,11,1,9
0.87,1,11,1,9
0.87,1,12,1,9
0.87,1,14,1,11
0.87,1,12,1,10
0.87,1,13,1,9
0.88,1,10,1,9
0.88,1,12,1,9
0.88,1,12,1,9
0.88,1,12,1,9
0.88,1,11,1,9
0.88,1,13,1,9
0.88,1,12,1,10
0.88,1,13,1,9
0.88,1,11,1,9
0.88,1,12,1,8
0.89,1,10,1,9
0.89,1,10,1,8
0.89,1,12,1,9
0.89,1,10,1,9
0.89,1,13,1,9
0.89,1,12,1,10
0.89,1,11,1,8
0.89,1,13,1,9
0.89,1,10,1,9
0.89,1,10,1,9
0.9,1,10,1,9
0.9,1,13,1,11
0.9,1,10,1,9
0.9,1,12,1,11
0.9,1,12,1,9
0.9,1,11,1,10
0.9,1,12,1,11
0.9,1,11,1,10
0.9,1,9,1,8
0.9,1,11,1,9
0.91,1,11,1,10
0.91,1,12,1,9
0.91,1,11,1,10
0.91,1,14,1,9
0.91,1,10,1,9
0.91,1,11,1,10
0.91,1,11,1,9
0.91,1,10,1,8
0.91,1,12,1,11
0.91,1,11,1,10
0.92,1,12,1,9
0.92,1,11,1,10
0.92,1,11,1,11
0.92,1,12,1,11
0.92,1,11,1,10
0.92,1,11,1,9
0.92,1,11,1,9
0.92,1,10,1,9
0.92,1,11,1,11
0.92,1,12,1,10
0.93,1,11,1,10
0.93,1,10,1,9
0.93,1,11,1,9
0.93,1,11,1,9
0.93,1,11,1,9
0.93,1,10,1,10
0.93,1,10,1,9
0.93,1,11,1,11
