Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.31,1000,0,0.154404,0.308809
0.5,0.31,1000,0,0.155471,0.310942
0.5,0.31,1000,0,0.155473,0.310946
0.5,0.32,1000,0,0.160198,0.320395
0.5,0.32,1000,0,0.16008,0.32016
0.5,0.32,1000,0,0.159692,0.319384
0.5,0.32,1000,0,0.159756,0.319512
0.5,0.32,1000,0,0.159237,0.318474
0.5,0.32,1000,0,0.160681,0.321362
0.5,0.32,1000,0,0.16031,0.32062
0.5,0.32,1000,0,0.160352,0.320703
0.5,0.32,1000,0,0.159399,0.318798
0.5,0.32,1000,0,0.159574,0.319148
0.5,0.33,1000,0,0.165475,0.33095
0.5,0.33,1000,0,0.165212,0.330424
0.5,0.33,1000,0,0.165228,0.330455
0.5,0.33,1000,0,0.165235,0.330471
0.5,0.33,1000,0,0.164407,0.328814
0.5,0.33,1000,0,0.164632,0.329264
0.5,0.33,1000,0,0.164919,0.329838
0.5,0.33,1000,0,0.164569,0.329139
0.5,0.33,1000,0,0.164276,0.328553
0.5,0.33,1000,0,0.164848,0.329696
0.5,0.34,1000,0,0.169905,0.339811
0.5,0.34,1000,0,0.169885,0.339771
0.5,0.34,1000,0,0.169444,0.338888
0.5,0.34,1000,0,0.169738,0.339475
0.5,0.34,1000,0,0.169236,0.338471
0.5,0.34,1000,0,0.170137,0.340273
0.5,0.34,1000,0,0.169799,0.339598
0.5,0.34,1000,0,0.170321,0.340642
0.5,0.34,1000,0,0.170293,0.340586
0.5,0.34,1000,0,0.170213,0.340426
0.5,0.35,1000,0,0.175762,0.351523
0.5,0.35,1000,0,0.174204,0.348407
0.5,0.35,1000,0,0.174884,0.349767
0.5,0.35,1000,0,0.174761,0.349522
0.5,0.35,1000,0,0.176063,0.352126
0.5,0.35,1000,0,0.174987,0.349974
0.5,0.35,1000,0,0.174969,0.349938
0.5,0.35,1000,0,0.174243,0.348486
0.5,0.35,1000,0,0.174824,0.349647
0.5,0.35,1000,0,0.175288,0.350576
0.5,0.36,1000,0,0.180383,0.360767
0.5,0.36,1000,0,0.179219,0.358438
0.5,0.36,1000,0,0.179566,0.359131
0.5,0.36,1000,0,0.179939,0.359878
0.5,0.36,1000,0,0.180317,0.360635
0.5,0.36,1000,0,0.179902,0.359804
0.5,0.36,1000,0,0.180512,0.361024
0.5,0.36,1000,0,0.180227,0.360454
0.5,0.36,1000,0,0.180171,0.360341
0.5,0.36,1000,0,0.179144,0.358287
0.5,0.37,1000,0,0.184752,0.369504
0.5,0.37,1000,0,0.185983,0.371965
0.5,0.37,1000,0,0.184516,0.369032
0.5,0.37,1000,0,0.185119,0.370237
0.5,0.37,1000,0,0.184985,0.369969
0.5,0.37,1000,0,0.184426,0.368851
0.5,0.37,1000,0,0.185337,0.370674
0.5,0.37,1000,0,0.185571,0.371143
0.5,0.37,1000,0,0.185109,0.370219
0.5,0.37,1000,0,0.184794,0.369587
0.5,0.38,1000,0,0.189576,0.379152
0.5,0.38,1000,0,0.190645,0.38129
0.5,0.38,1000,0,0.189984,0.379968
0.5,0.38,1000,0,0.190404,0.380809
0.5,0.38,1000,0,0.190549,0.381097
0.5,0.38,1000,0,0.190472,0.380944
0.5,0.38,1000,0,0.189604,0.379209
0.5,0.38,1000,0,0.190284,0.380567
0.5,0.38,1000,0,0.189417,0.378834
0.5,0.38,1000,0,0.190954,0.381907
0.5,0.39,1000,0,0.1948,0.389599
0.5,0.39,1000,0,0.194599,0.389198
0.5,0.39,1000,0,0.194975,0.389951
0.5,0.39,1000,0,0.194795,0.38959
0.5,0.39,1000,0,0.194583,0.389165
0.5,0.39,1000,0,0.19565,0.391299
0.5,0.39,1000,0,0.194966,0.389932
0.5,0.39,1000,0,0.195178,0.390356
0.5,0.39,1000,0,0.195456,0.390912
0.5,0.39,1000,0,0.194866,0.389732
0.5,0.4,1000,0,0.199441,0.398881
0.5,0.4,1000,0,0.200528,0.401055
0.5,0.4,1000,0,0.200417,0.400833
0.5,0.4,1000,0,0.20022,0.400441
0.5,0.4,1000,0,0.199884,0.399769
0.5,0.4,1000,0,0.198922,0.397843
0.5,0.4,1000,0,0.200464,0.400927
0.5,0.4,1000,0,0.200959,0.401918
0.5,0.4,1000,0,0.200335,0.40067
0.5,0.4,1000,0,0.199731,0.399462
0.5,0.41,1000,0,0.205201,0.410401
0.5,0.41,1000,0,0.205753,0.411507
0.5,0.41,1000,0,0.204165,0.40833
0.5,0.41,1000,0,0.204898,0.409796
0.5,0.41,1000,0,0.205254,0.410508
0.5,0.41,1000,0,0.20483,0.409661
0.5,0.41,1000,0,0.205002,0.410004
0.5,0.41,1000,0,0.2047,0.4094
0.5,0.41,1000,0,0.204577,0.409154
0.5,0.41,1000,0,0.204415,0.408829
0.5,0.42,1000,0,0.209519,0.419038
0.5,0.42,1000,0,0.209163,0.418327
0.5,0.42,1000,0,0.210259,0.420518
0.5,0.42,1000,0,0.210838,0.421676
0.5,0.42,1000,0,0.209414,0.418827
0.5,0.42,1000,0,0.210206,0.420413
0.5,0.42,1000,0,0.210627,0.421254
0.5,0.42,1000,0,0.210241,0.420481
0.5,0.42,1000,0,0.21091,0.421821
0.5,0.42,1000,0,0.209549,0.419099
0.5,0.43,1000,0,0.214568,0.429135
0.5,0.43,1000,0,0.214821,0.429641
0.5,0.43,1000,0,0.215395,0.43079
0.5,0.43,1000,0,0.215373,0.430745
0.5,0.43,1000,0,0.213307,0.426614
0.5,0.43,1000,0,0.215035,0.43007
0.5,0.43,1000,0,0.215624,0.431248
0.5,0.43,1000,0,0.214353,0.428706
0.5,0.43,1000,0,0.214865,0.429729
0.5,0.43,1000,0,0.215847,0.431694
0.5,0.44,1000,0,0.219226,0.438452
0.5,0.44,1000,0,0.219934,0.439868
0.5,0.44,1000,0,0.219903,0.439807
0.5,0.44,1000,0,0.219478,0.438956
0.5,0.44,1000,0,0.219833,0.439666
0.5,0.44,1000,0,0.221363,0.442726
0.5,0.44,1000,0,0.22035,0.4407
0.5,0.44,1000,0,0.21941,0.438819
0.5,0.44,1000,0,0.220319,0.440638
0.5,0.44,1000,0,0.221161,0.442322
0.5,0.45,1000,0,0.225781,0.451562
0.5,0.45,1000,0,0.224682,0.449364
0.5,0.45,1000,0,0.224595,0.449189
0.5,0.45,1000,0,0.224996,0.449992
0.5,0.45,1000,0,0.225904,0.451808
0.5,0.45,1000,0,0.22537,0.450741
0.5,0.45,1000,0,0.224443,0.448886
0.5,0.45,1000,0,0.22431,0.44862
0.5,0.45,1000,0,0.224818,0.449636
0.5,0.45,1000,0,0.225146,0.450292
0.5,0.46,1000,0,0.22981,0.45962
0.5,0.46,1000,0,0.230087,0.460173
0.5,0.46,1000,0,0.229759,0.459518
0.5,0.46,1000,0,0.230153,0.460305
0.5,0.46,1000,0,0.231292,0.462585
0.5,0.46,1000,0,0.229912,0.459823
0.5,0.46,1000,0,0.229659,0.459317
0.5,0.46,1000,0,0.230222,0.460445
0.5,0.46,1000,0,0.230392,0.460783
0.5,0.46,1000,0,0.230018,0.460037
0.5,0.47,1000,0,0.235228,0.470456
0.5,0.47,1000,0,0.235524,0.471048
0.5,0.47,1000,0,0.234852,0.469703
0.5,0.47,1000,0,0.233868,0.467736
0.5,0.47,1000,0,0.235628,0.471256
0.5,0.47,1000,0,0.234388,0.468777
0.5,0.47,1000,0,0.235223,0.470446
0.5,0.47,1000,0,0.234249,0.468497
0.5,0.47,1000,0,0.235183,0.470366
0.5,0.47,1000,0,0.235568,0.471135
0.5,0.48,1000,0,0.239068,0.478136
0.5,0.48,1000,0,0.240263,0.480526
0.5,0.48,1000,0,0.239847,0.479694
0.5,0.48,1000,0,0.239222,0.478443
0.5,0.48,1000,0,0.23974,0.47948
0.5,0.48,1000,0,0.239882,0.479764
0.5,0.48,1000,0,0.240833,0.481666
0.5,0.48,1000,0,0.239924,0.479849
0.5,0.48,1000,0,0.240019,0.480038
0.5,0.48,1000,0,0.239235,0.478471
0.5,0.49,1000,0,0.244614,0.489228
0.5,0.49,1000,0,0.245611,0.491221
0.5,0.49,1000,0,0.245187,0.490374
0.5,0.49,1000,0,0.244465,0.488929
0.5,0.49,1000,0,0.24483,0.489659
0.5,0.49,1000,0,0.245367,0.490735
0.5,0.49,1000,0,0.245127,0.490254
0.5,0.49,1000,0,0.2448,0.489599
0.5,0.49,1000,0,0.245505,0.491011
0.5,0.49,1000,0,0.244375,0.48875
0.5,0.5,1000,0,0.248614,0.497228
0.5,0.5,1000,0,0.249384,0.498768
0.5,0.5,1000,0,0.250025,0.50005
0.5,0.5,1000,0,0.250008,0.500015
0.5,0.5,1000,0,0.249342,0.498683
0.5,0.5,1000,0,0.249418,0.498835
0.5,0.5,1000,0,0.249974,0.499948
0.5,0.5,1000,0,0.250309,0.500618
0.5,0.5,1000,0,0.250576,0.501153
0.5,0.5,1000,0,0.250398,0.500796
0.51,0,1000,0,0,0
0.51,0.01,1000,0,0.00501335,0.0100267
0.51,0.01,1000,0,0.00502578,0.0100516
0.51,0.01,1000,0,0.00500927,0.0100185
0.51,0.01,1000,0,0.00498785,0.0099757
0.51,0.01,1000,0,0.00500203,0.0100041
0.51,0.01,1000,0,0.0049766,0.00995319
0.51,0.01,1000,0,0.00499402,0.00998803
0.51,0.01,1000,0,0.00499876,0.00999753
0.51,0.01,1000,0,0.00500253,0.0100051
0.51,0.01,1000,0,0.00500977,0.0100195
0.51,0.02,1000,0,0.00996456,0.0199291
0.51,0.02,1000,0,0.0100101,0.0200202
0.51,0.02,1000,0,0.0100018,0.0200035
0.51,0.02,1000,0,0.0100127,0.0200253
0.51,0.02,1000,0,0.0101129,0.0202257
0.51,0.02,1000,0,0.0100576,0.0201151
0.51,0.02,1000,0,0.0100303,0.0200605
0.51,0.02,1000,0,0.0100191,0.0200383
0.51,0.02,1000,0,0.0100703,0.0201405
0.51,0.02,1000,0,0.0100013,0.0200025
0.51,0.03,1000,0,0.0150318,0.0300636
